Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,base,Je gaat het pas zien als je het doorhebt.* Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je gaat het pas zien als je <extra_id_0> Wieteke <extra_id_1> opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je gaat het pas zien als je het weet. Wieteke maakt opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,"['het doorhebt.*', 'van Zeil over']","['het weet.', 'maakt']",5,20,20,"[0.5, 0.9230769230769231]",0.71
seq1-0,base,"In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben elkaar op. In de rubriek Luie Luisteraar loodst Volkskrant.nl je elke week door de nieuwste releases en selecteert de drie platen die je niet mag missen. Deze week:","In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben elkaar op. In de rubriek Luie <extra_id_0> je elke week door de nieuwste releases <extra_id_1> drie platen die je niet mag <extra_id_2> week:","In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben elkaar op. In de rubriek Luie luister je elke week door de nieuwste releases Hieronder vind je drie platen die je niet mag missen deze week:","['Luisteraar loodst Volkskrant.nl', 'en selecteert de', 'missen. Deze']","['luister', 'Hieronder vind je', 'missen deze']",8,20,19,"[0.8064516129032258, 0.8235294117647058, 0.16666666666666666]",0.6
seq2-0,base,| De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,| De Volkskrant Wat zullen we eens <extra_id_0> in de Volkskrant een verrassend recept. Vandaag:,| De Volkskrant Wat zullen we eens eten? Lees in de Volkskrant een verrassend recept. Vandaag:,['eten vanavond? Iedere dag'],['eten? Lees'],4,20,19,[0.68],0.68
seq3-0,base,Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert <extra_id_0> van Kuijk. Deze week:,Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert Pieter van Kuijk. Deze week:,['(en cabaretier) Jasper'],['Pieter'],3,20,18,[0.8181818181818182],0.82
seq4-0,base,Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) <extra_id_0> Deze week:,Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Guido van der Meer. Deze week:,['Jasper van Kuijk.'],['Guido van der Meer.'],3,20,18,[0.7368421052631579],0.74
seq5-0,base,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de Volkskrant die kwestie aan de orde.,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt <extra_id_0> aan de orde.,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de organisatie dit aan de orde.,['de Volkskrant die kwestie'],['de organisatie dit'],4,20,17,[0.64],0.64
seq6-0,base,"Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op een rijtje. Deze week:","Volkskrant.nl zet elke zondag de leukste, handigste en meest <extra_id_0> op een rijtje. Deze week:","Volkskrant.nl zet elke zondag de leukste, handigste en meest populaire dingen op een rijtje. Deze week:",['informatieve apps voor u'],['populaire dingen'],4,20,16,[0.8333333333333334],0.83
seq7-0,base,"Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of beeldende kunst. Deze week:","Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of <extra_id_0>","Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of wetenschap.",['beeldende kunst. Deze week:'],['wetenschap.'],4,20,15,[0.8518518518518519],0.85
seq8-0,base,"Ook zon hekel aan onnodig Engels? Help ons dan aan bruikbare, Nederlandse alternatieven. Zoals voor",Ook zon hekel aan onnodig Engels? Help ons <extra_id_0> Nederlandse alternatieven. Zoals voor,Ook zon hekel aan onnodig Engels? Help ons met Nederlandse alternatieven. Zoals voor,"['dan aan bruikbare,']",['met'],3,20,15,[0.9444444444444444],0.94
seq9-0,base,"Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","Kookboekenmaker, kok en <extra_id_0> maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","Kookboekenmaker, kok en schrijver maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:",['illustrator Yvette van Boven'],['schrijver'],4,20,15,[0.8571428571428571],0.86
