Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,large,dagen zijn de gemeenteraadsverkiezingen. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,dagen zijn de <extra_id_0> om deze politieke nieuwsbrief per mail te ontvangen.,dagen zijn de mogelijkheden om deze politieke nieuwsbrief per mail te ontvangen.,['gemeenteraadsverkiezingen. Schrijf je in'],['mogelijkheden'],4,25,23,[0.825],0.82
seq1-0,large,Problemen met bedrijven en overheidsdiensten? Help@NRC gaat elke woensdag op zoek naar antwoorden. Vandaag:,Problemen met bedrijven en overheidsdiensten? Help@NRC gaat elke woensdag op <extra_id_0>,Problemen met bedrijven en overheidsdiensten? Help@NRC gaat elke woensdag op pad.,['zoek naar antwoorden. Vandaag:'],['pad.'],4,25,22,[0.9],0.9
seq2-0,large,van de formatie. Schrijf je in voor De Haagse Stemming om deze (di-do-za) als nieuwsbrief te ontvangen.,van de formatie. Schrijf je in voor <extra_id_0> deze (di-do-za) als nieuwsbrief te ontvangen.,van de formatie. Schrijf je in voor de nieuwsbrief om deze (di-do-za) als nieuwsbrief te ontvangen.,['De Haagse Stemming om'],['de nieuwsbrief om'],4,25,20,[0.6666666666666666],0.67
seq3-0,large,<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal doden: 1<BR> Aantal gewonden: 0<BR> Methode: moordaanslag<BR> Plaats:,<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal doden: 1<BR> <extra_id_0> moordaanslag<BR> Plaats:,<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal doden: 1<BR> Type: moordaanslag<BR> Plaats:,['Aantal gewonden: 0<BR> Methode:'],['Type:'],4,25,20,[0.9354838709677419],0.94
seq4-0,large,Pieter Steinz heeft de spierziekte ALS en verbindt het verloop van zijn ziekte met de boeken die hij (her)leest. Deze week:,Pieter Steinz heeft de spierziekte ALS <extra_id_0> verloop van zijn ziekte met de boeken die hij (her)leest. <extra_id_1>,Pieter Steinz heeft de spierziekte ALS en vergelijkt het verloop van zijn ziekte met de boeken die hij (her)leest.,"['en verbindt het', 'Deze week:']","['en vergelijkt het', '']",5,25,18,"[0.29411764705882354, 1.0]",0.65
seq5-0,large,"/ The Kobal Collection ] Editorial use only related to cinema, television and personalities. Not for cover use, advertising or fictional works without specific prior agreement The Picture Desk","/ The Kobal Collection ] Editorial use only related to cinema, television and personalities. <extra_id_0> use, <extra_id_1> without specific prior agreement The Picture Desk","/ The Kobal Collection ] Editorial use only related to cinema, television and personalities. Any other use, including commercial use, is permitted without specific prior agreement The Picture Desk","['Not for cover', 'advertising or fictional works']","['Any other', 'including commercial use, is permitted']",7,25,17,"[0.6923076923076923, 0.8421052631578947]",0.77
seq6-0,large,Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Vandaag:,Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover <extra_id_0> uitsprak. Vandaag:,Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover de NOS zich uitsprak. Vandaag:,['de rechter zich onlangs'],['de NOS zich'],4,25,16,[0.6521739130434783],0.65
seq7-0,large,? Onderaan dit artikel kunnen abonnees op die vraag reageren. Hier vind je meer over reageren op NRC.nl.,? Onderaan dit artikel kunnen abonnees op die vraag reageren. Hier vind je meer <extra_id_0>,? Onderaan dit artikel kunnen abonnees op die vraag reageren. Hier vind je meer antwoorde.,['over reageren op NRC.nl.'],['antwoorde.'],4,25,15,[0.875],0.88
seq8-0,large,dagen op het integriteitsonderzoek naar Wybren van Haga. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,dagen op het integriteitsonderzoek naar Wybren <extra_id_0> Schrijf je in om <extra_id_1> per mail te ontvangen.,dagen op het integriteitsonderzoek naar Wybren Schrijf je in om updates per mail te ontvangen.,"['van Haga.', 'deze politieke nieuwsbrief']","['', 'updates']",5,25,14,"[1.0, 0.8461538461538461]",0.92
seq9-0,large,Wat zijn de kleine verhalen waar de moderne mens in gelooft? Wekelijks vertelt Arjen van Veelen zon moderne mythe. Vandaag:,<extra_id_0> de kleine verhalen waar de <extra_id_1> gelooft? Wekelijks vertelt Arjen van Veelen zon moderne mythe. Vandaag:,van de kleine verhalen waar de mensheid in gelooft? Wekelijks vertelt Arjen van Veelen zon moderne mythe. Vandaag:,"['Wat zijn', 'moderne mens in']","['van', 'mensheid in']",5,25,13,"[0.75, 0.5333333333333333]",0.64
