,Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
0,seq0-0,small,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten.  Bijna allemaal laten ze het publiek actief meedoen,Binnale van Veneti 2017 <extra_id_0> het Nederlands Binnalepaviljoen in te richten. Bijna allemaal laten ze het publiek actief meedoen,Binnale van Veneti 2017 om het Nederlands Binnalepaviljoen in te richten. Bijna allemaal laten ze het publiek actief meedoen,['Vijf kunstenaars hopen'],['om'],3,15.0,1,[0.9545454545454546],0.95
1,seq1-0,small,"Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen.  Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren fietsen op de rechte paden die het park doorkruisen","Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen. Er wordt gepicknickt op <extra_id_0> nemen een duik in de vennetjes en kinderen leren fietsen op de rechte <extra_id_1> doorkruisen","Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen. Er wordt gepicknickt op de velden, kinderen nemen een duik in de vennetjes en kinderen leren fietsen op de rechte weg. De Oude Warande doorkruisen","['de grasvelden', 'honden', 'paden die het park']","['de velden, kinderen', 'weg. De Oude Warande']",7,15.0,1,"[0.6842105263157895, 0.85]",0.77
2,seq2-0,small,"'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen.  Het ","'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de <extra_id_0> luchthaven <extra_id_1> Het","'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de Duitse luchthaven te vinden. Het","['veiligheid van de', 'te testen.']","['Duitse', 'te vinden.']",5,15.0,1,"[0.8823529411764706, 0.4]",0.64
3,seq3-0,small,Hamas mag in Rusland op bezoek komen .  Tot ontsteltenis van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,Hamas mag in Rusland op bezoek komen . Tot ontsteltenis van Isral heeft de Russische <extra_id_0> de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,Hamas mag in Rusland op bezoek komen . Tot ontsteltenis van Isral heeft de Russische regering de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,['president Poetin gisteren aangekondigd'],['regering'],4,15.0,1,[0.8157894736842105],0.82
4,seq4-0,small,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een reeks terroristische aanslagen.  Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien aanslagen in Europese steden,Helft van de daders aanslagen heeft crimineel verleden Foto <extra_id_0> is de laatst getroffen stad in een reeks terroristische aanslagen. Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien <extra_id_1> steden,Helft van de daders aanslagen heeft crimineel verleden Foto Reuters De stad is de laatst getroffen stad in een reeks terroristische aanslagen. Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien terroristische steden,"['Emilio Morenatti/AP Barcelona', 'aanslagen in Europese']","['Reuters De stad', 'terroristische']",6,15.0,1,"[0.8620689655172413, 0.9047619047619048]",0.88
5,seq5-0,small,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig kritisch over de islam.  Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband <extra_id_0> en publiceerde op internet veelvuldig kritisch over de islam. Dat <extra_id_1>,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband met de islam en publiceerde op internet veelvuldig kritisch over de islam. Dat is...,"['gebracht met rechtsextremisme', 'melden Noorse media']","['met de islam', 'is...']",6,15.0,1,"[0.7586206896551724, 0.9473684210526315]",0.85
6,seq6-0,small,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden.  De man werd onwel terwijl hij geboeid op de achterbank van de politieauto lag en overleed daar,Een 29-jarige arrestant uit Den <extra_id_0> gisteravond op weg naar het politiebureau overleden. De man werd onwel terwijl hij geboeid op de achterbank <extra_id_1> lag en overleed daar,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden. De man werd onwel terwijl hij geboeid op de achterbank van de politie lag en overleed daar,"['Haag is', 'van de politieauto']","['Haag is', 'van de politie']",5,15.0,1,"[0.0, 0.2222222222222222]",0.11
7,seq7-0,small,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector.  Samenwerking moet leiden tot een inhaalslag,Zelfrijdende <extra_id_0> auto-industrie reageerde traag op de omwentelingen in de sector. Samenwerking moet leiden tot een inhaalslag,Zelfrijdende voertuigen in de auto-industrie reageerde traag op de omwentelingen in de sector. Samenwerking moet leiden tot een inhaalslag,['autos De Duitse'],['voertuigen in de'],3,15.0,1,[0.875],0.88
8,seq8-0,small,"Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART.  Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf <extra_id_0> verwacht dat de nieuwe <extra_id_1> en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener verwacht dat de nieuwe zenders The Walking Dead en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","['Wegener Arcade', 'televisiezenders TV10 Gold']","['Wegener', 'zenders The Walking Dead']",5,15.0,1,"[0.5, 0.8076923076923077]",0.65
9,seq9-0,small,"Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid.  Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid 2001 organiseerde",Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n <extra_id_0> blijkt uit de inzendingen voor de essayprijs- vraag die deze <extra_id_1> de Stichting Sociale Zekerheid 2001 organiseerde,Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n anders. Dit blijkt uit de inzendingen voor de essayprijs- vraag die deze week de Stichting Sociale Zekerheid 2001 organiseerde,"['figuurlijk', 'zo', 'krant samen met']","['anders. Dit', 'week']",5,15.0,1,"[1.0, 1.0]",1.0
10,seq10-0,small,"De Achterpagina bezoekt bijzondere kleedkamers.  Vandaag het mooiste voetbalstadion van Nederland, De Kuip in Rotterdam, thuishaven van Feyenoord","De Achterpagina bezoekt bijzondere kleedkamers. Vandaag het mooiste voetbalstadion van Nederland, De Kuip <extra_id_0> van Feyenoord","De Achterpagina bezoekt bijzondere kleedkamers. Vandaag het mooiste voetbalstadion van Nederland, De Kuip van Feyenoord","['in Rotterdam', 'thuishaven']",[''],3,15.0,1,[1.0],1.0
11,seq11-0,small,Van koffie tot herone Screenshot '100 Years Of Drugs In America: From Coffee To Heroin' Van koffie tot herone: in drie minuten zet dit filmpje de verslavingen van Amerikanen in de afgelopen 100 jaar op een rij.  Het begint braaf in de Verenigde Staten: in 1912 klaagt de Amerikaanse overheid Coca Cola aan voor het toevoegen van cafene aan hun dranken,Van koffie tot herone Screenshot '100 Years Of Drugs In America: From Coffee To Heroin' <extra_id_0> herone: in drie minuten zet dit filmpje de <extra_id_1> in de afgelopen 100 jaar op een rij. Het begint braaf in de Verenigde Staten: <extra_id_2> de Amerikaanse overheid Coca Cola aan voor het toevoegen van cafene aan hun dranken,Van koffie tot herone Screenshot '100 Years Of Drugs In America: From Coffee To Heroin' Van koffie tot herone: in drie minuten zet dit filmpje de geschiedenis van dranken in de afgelopen 100 jaar op een rij. Het begint braaf in de Verenigde Staten: inmiddels bood de Amerikaanse overheid Coca Cola aan voor het toevoegen van cafene aan hun dranken,"['Van koffie tot', 'verslavingen van Amerikanen', 'in 1912 klaagt']","['Van koffie tot', 'geschiedenis van dranken', 'inmiddels bood']",9,15.0,1,"[0.0, 0.5555555555555556, 0.8571428571428571]",0.47
12,seq12-0,small,"Identiteit Laat biologie niet je identiteit bepalen, schrijft Sophie Rutenfrans.  Immers, je cyclus bepaalt niet wie je bent","<extra_id_0> niet je identiteit bepalen, schrijft Sophie Rutenfrans. Immers, je cyclus bepaalt niet wie je bent","maar niet je identiteit bepalen, schrijft Sophie Rutenfrans. Immers, je cyclus bepaalt niet wie je bent",['Identiteit Laat biologie'],['maar'],3,15.0,1,[0.9166666666666666],0.92
13,seq13-0,small,"Een paar weken geleden, op n van de eerste zomerdagen, maakten mijn dochter en ik een tochtje door de stad op een waterfiets.  Vertrekkend vanaf het waterfietsstation tegenover het Amricain, passeerden wij de duiven die onder de brug bij de Leidsegracht zaten te broeden","Een paar weken geleden, op n van de eerste zomerdagen, maakten mijn dochter en ik een tochtje door de stad op een waterfiets. Vertrekkend vanaf het waterfietsstation tegenover het <extra_id_0> duiven die onder de brug bij de Leidsegracht <extra_id_1>","Een paar weken geleden, op n van de eerste zomerdagen, maakten mijn dochter en ik een tochtje door de stad op een waterfiets. Vertrekkend vanaf het waterfietsstation tegenover het waterfietsstation waren er duiven die onder de brug bij de Leidsegracht","['Amricain', 'passeerden wij de', 'zaten te broeden']","['waterfietsstation waren er', '']",7,15.0,1,"[0.8076923076923077, 1.0]",0.9
14,seq14-0,small,KPN laat Duitse markt schieten KPN verdient miljarden met de verkoop van het Duitse dochterbedrijf E-Plus.  De koper Telefnica moet de strijd nu aangaan met grote Duitse concurrenten,KPN laat Duitse markt schieten KPN verdient miljarden met de verkoop van het Duitse dochterbedrijf E-Plus. De koper Telefnica moet de strijd nu aangaan <extra_id_0>,KPN laat Duitse markt schieten KPN verdient miljarden met de verkoop van het Duitse dochterbedrijf E-Plus. De koper Telefnica moet de strijd nu aangaan,['met grote Duitse concurrenten'],[''],4,15.0,1,[1.0],1.0
15,seq15-0,small,Opnieuw strijd om Eksit  al is de poptempel al 34 jaar dicht Over het fameuze Rotterdamse jongerencentrum (1970-1981) is een historiografische controverse ontbrand door het boek Eksit van journalist Kees Vermeer.  De Sex Pistols op 14 december 1977 tijdens een historisch en volledig uitverkocht optreden in Eksit,Opnieuw strijd om Eksit al is de poptempel al 34 jaar dicht Over <extra_id_0> jongerencentrum (1970-1981) is een historiografische controverse <extra_id_1> Eksit van journalist Kees Vermeer. De Sex Pistols op 14 december 1977 tijdens een historisch en volledig uitverkocht optreden in Eksit,Opnieuw strijd om Eksit al is de poptempel al 34 jaar dicht Over het jongerencentrum (1970-1981) is een historiografische controverse over Eksit van journalist Kees Vermeer. De Sex Pistols op 14 december 1977 tijdens een historisch en volledig uitverkocht optreden in Eksit,"['het fameuze Rotterdamse', 'ontbrand door het boek']","['het', 'over']",7,15.0,1,"[0.8695652173913043, 0.9090909090909091]",0.89
16,seq16-0,small,Aidsvoorlichting voor vrachtwagenchauffeurs; Verhalenbundel van allochtone schrijvers Het land in mij.  Nieuwe verhalen van jonge schrijvers op de grens van twee werelden,Aidsvoorlichting voor vrachtwagenchauffeurs; Verhalenbundel van allochtone schrijvers Het land in mij. Nieuwe verhalen van jonge schrijvers <extra_id_0> van twee werelden,Aidsvoorlichting voor vrachtwagenchauffeurs; Verhalenbundel van allochtone schrijvers Het land in mij. Nieuwe verhalen van jonge schrijvers Nieuwe verhalen van twee werelden,['op de grens'],['Nieuwe verhalen'],3,15.0,1,[0.7333333333333333],0.73
18,seq18-0,small,"Een paar dagen nadat de dappere Amerikanen Spencer Stone, Anthony Sadler en Alek Skarlatos, en de Brit Chris Norman in de Thalys naar Parijs een zwaar bewapende terreurboef hadden bedwongen, verschenen er op de televisie beelden van zon trein die op het Centraal Station op het punt stond te vertrekken.  Worden de passagiers daar nu ook elektronisch bekeken, jasje uittrekken, broekriem afdoen, poortje door, laptop openen, enz","Een <extra_id_0> de dappere Amerikanen Spencer Stone, Anthony Sadler en Alek Skarlatos, en de Brit Chris Norman in de Thalys naar Parijs een zwaar bewapende terreurboef hadden bedwongen, verschenen er op de televisie beelden van zon trein <extra_id_1> Station op het punt stond te vertrekken. Worden de passagiers daar nu ook elektronisch bekeken, jasje uittrekken, broekriem afdoen, poortje <extra_id_2> enz","Een dag nadat de dappere Amerikanen Spencer Stone, Anthony Sadler en Alek Skarlatos, en de Brit Chris Norman in de Thalys naar Parijs een zwaar bewapende terreurboef hadden bedwongen, verschenen er op de televisie beelden van zon trein die naar het Centraal Station op het punt stond te vertrekken. Worden de passagiers daar nu ook elektronisch bekeken, jasje uittrekken, broekriem afdoen, poortje wassen enz","['paar dagen nadat', 'die op het Centraal', 'door', 'laptop openen,']","['dag nadat', 'die naar het Centraal', 'wassen']",10,15.0,1,"[0.4375, 0.19047619047619047, 1.0]",0.54
