text,text_count,link,paywall
"Carlos Alcaraz heeft voor het eerst in zijn carrière Roland Garros gewonnen. De 21-jarige Spanjaard won de bloedstollende vijfsetter (3-6, 6-2, 7-5, 1-6, 2-6) van Alexander Zverev en trok daarmee de ongeslagen reeks in finales door. Hij won in Parijs voor de derde keer een grand slam en is de jongste speler ooit die op drie verschillende ondergronden de titel pakte.",1,Live Roland Garros | Grijpt Zverev of Alacaraz eerste titel? (ad.nl),nee
"Kijk naar Roland Garros en zie dagelijks hoe belangrijk het mentale aspect in tennis is. Om jonge talenten weerbaarder te maken, start de tennisbond met een pilot. Coach Sven Groeneveld juicht dat toe, te meer omdat hij met mentale hulp ooit Roger Federer in het gareel kreeg.",1,"Ooit had een zeer driftige Roger Federer er baat bij, nu start ook de tennisbond met mentale experimenten | Tennis | AD.nl",ja
"Het ene moment staat Noa (25) te swingen op een dancefestival. Het andere moment wordt ze door gewapende Hamas-strijders meegenomen op een motor en smeekt ze om haar leven. Als de beelden van de ontvoering van haar Israëlische ‘zus’ opduiken, denkt Carola (34) uit Veenendaal dat ze fake news ziet. Datzelfde gevoel heeft ze dit weekend weer als ze, acht maanden later, opnieuw een onverwacht telefoontje uit Israël krijgt. ,,Ik dacht dat ik aan het dromen was.”",1,"Haar door Hamas ontvoerde ‘zus’ is vrij, Nederlandse Carola (34) denkt dat ze droomt: ‘Echt een wonder’ | Binnenland | AD.nl",ja
"Sietske van den Berg (34) betaalde 44 euro voor een saunabezoek wat geen ontspanning, maar stress gaf. „Er hing een hitsige sfeer, alsof ik op een swingersparty was terechtgekomen.” Iedereen maakt weleens een fout waar kleine of soms grote financiële gevolgen aan kleven. In deze reeks vertellen mensen over hun geldflater.",1,Sietske betaalde 44 euro voor ontspanning in de sauna: ‘Maar ik was ook een traumaatje rijker’ | Geldflaters | AD.nl,ja
"De liberaal-conservatieve Nieuw-Vlaamse Alliantie (N-VA) blijft de grootste partij in het Vlaams Parlement (25,2 procent). Dat melden Belgische media op basis van de helft van de getelde stemmen van de regionale verkiezingen, die vandaag tegelijk met de Europese en landelijke verkiezingen plaatsvonden.",1,"N-VA blijft grootste in Vlaams parlement, Vlaams Belang tweede: ‘Wel een domper’ | Buitenland | AD.nl",nee
"Verkouden geweest of griep gehad, maar houdt het hoesten aan? Dan heb je misschien acute bronchitis. Longarts Christine Korteweg legt uit hoe acute bronchitis kunt krijgen, wat het verschil is met een longontsteking en hoe je het kunt voorkomen. ,,Stomen helpt vaak goed omdat de warme en vochtige lucht het slijm in de longen losmaakt.”",1,Hoestje dat maar niet weg wil: jaarlijks krijgen zo’n 300.000 Nederlanders acute bronchitis | arts legt uit | AD.nl,ja
"Gover Meit heeft voor het eerst sinds de diskwalificatie van Joost Klein gesproken over het Eurovisie Songfestival. Meit, die als creatief directeur mee was naar het Zweedse Malmö, noemt het voor de camera van RTL Boulevard ‘een zware periode’.",1,Gover Meit noemt songfestival in Malmö een zware periode | Show | AD.nl,nee
"Nederlanders douchen steeds meer, liefst twee keer per dag, met warm water en veel sop. Volgens dermatologen is dat echt te veel voor onze huid. In de Kwestie leggen we onze lezers graag de vraag voor: douchen we te veel?",1,Praat mee: douchen Nederlanders te veel? | De Kwestie | AD.nl,nee
Vier grote zonnepanelenbedrijven van Booking.com-miljonair Kees Koolen zijn failliet. Dat heeft grote gevolgen voor duizenden klanten. Hoe heeft dit kunnen gebeuren? En wat zegt de ineenstorting over de toekomst van de volledige sector? Een reconstructie.,1,"Multimiljonair startte zonnepanelen-imperium, nu zijn de bedrijven failliet en duizenden klanten de dupe | Binnenland | AD.nl",ja
"Het kwam als een donderslag bij heldere hemel, vertellen Françoise en Agustin Pareja. Ineens krijgen ze een tankstation pal naast het huis. De benzinepomp aan de Kolthofsingel is inmiddels in aanbouw. Maar het getergde echtpaar uit Almelo laat het er niet bij zitten. „Een nieuwe benzinepomp in een woonwijk is toch bizar?”",1,Plotseling krijgen Françoise en Agustin een tankstation naast hun huis: ‘Kunnen niet eens meer buiten zitten’ | Binnenland | AD.nl,ja
"Tuinders in Vierpolders eisen een investering van twee ton terug van de gemeente Voorne aan Zee, omdat hun aanvankelijk toegestane stookfabriek later toch niet mocht worden gebouwd. En eigenlijk willen ze nog heel veel meer geld zien.",1,Tuinders eisen vergoeding na afketsen stookfabriek (en ze willen miljoenen) | Voorne aan Zee | AD.nl,ja 
"Wonen in een comfortabel verwarmd huis van steen met een pannendak: dat was voor het gros van de mensen in het verleden een utopie. Het zag er wellicht romantisch uit zo’n lieflijk huisje, maar er werd bittere armoede geleden. Daarin kwam gelukkig langzaamaan verbetering.",1,"Wonen in een comfortabele villa? Nee, voor de meeste eilanders was het lange tijd armoe troef | Voorne aan Zee | AD.nl",ja 
"De gemeente Voorne aan Zee wil dat er over de huisvesting van arbeidsmigranten goede afspraken komen. Het is ook hoog tijd dat er een einde komt aan deze ‘moderne slavernij’, zoals GroenLinks/PvdA-raadslid Bianca Verschoor stelde.",1,Voorne aan Zee gaat huisvesting arbeidsmigranten beter regelen | Voorne aan Zee | AD.nl,ja
Politiek verslaggever Hans van Soest schrijft wekelijks over Haagse zaken die ons allemaal aangaan. In deze aflevering: Nog altijd is er geen regeling voor zware beroepen. Liever praten we in ons land door dan dat we een moeilijk besluit nemen.,1,"In België kan het, maar hier blijkt bepalen wat een zwaar beroep is héél moeilijk | Haagse Zaken | AD.nl",ja 
"Nonchalant, grappend én een tikje onthecht. Sinds hij zijn vertrek aankondigde, gaat Mark Rutte met een wat-kan-het-mij-nog-schelen-houding door Den Haag. Deze site volgde hem in de laatste zes maanden van zijn premierschap. ,,Een bitterbal! VVD-voedsel!’’",1,🎧 Mark Rutte is al begonnen om zichzelf in Nederland uit te gummen: ‘Hij wil echt de schaduw in’ | Politiek | AD.nl,ja
"Beau zoekt de gijzelnemer in de koffietent ‘Ik probeer mijzelf te leren om niet te oordelen, maar dat is een lang en moeizaam proces’. Beau van Erven Dorens schrijft in weekendmagazine Mezza wekelijks over zijn persoonlijk leven.",1,Heeft de gijzelnemer zich verstopt in de gangkast? | Beau van Erven Dorens | AD.nl,ja
"Bijna 80 jaar, waarvan meer dan zestig in de showbizz; een mens kan van minder moe worden. Zo niet duizendpoot Barrie Stevens, die ter ere van zijn jubileum gewoon opnieuw in het theater staat. ‘Dat onzekere jongetje zit nog steeds in mij’",1,"Barrie Stevens keert voor jubileum terug naar theater: ‘Het podium is mijn passie, het brengt me tot leven’ | Mezza | AD.nl",ja
Daan en het ongelijk van de rommelmarktheks ‘Uren samen spelen is verruild voor me-time op eigen kamers’. Daan Rot schrijft in weekendmagazine Mezza wekelijks over zijn persoonlijk leven,1,Daans peuters werden pubers: ‘Het lachen vergaat mij menigmaal’ | Daan & Jan Rot | AD.nl,ja
"Musicalactrice Bettina Holwerda moest leren dat afzeggen niet zwak is en overstemt het geadem van haar man met het gezoem van een ventilator. ‘Ik heb misofonie, ben heel gevoelig voor geluid.’ In de Mezza-rubriek Hemd van het Lijf vertellen BNérs over hun gezondheid.",1,Musicalactrice Bettina Holwerda zat op haar 24ste tegen burn-out aan: ‘Viel bijna flauw voor volle zaal’ | Hemd van het Lijf | AD.nl,ja 
"Ze zorgen al lange tijd voor grote problemen op verschillende plekken in Utrecht: drugsgebruikers op straat. Vorig jaar zorgden zo’n 120 verslaafden op het Lucasbolwerk voor overlast, maar nadat daar maatregelen werden genomen, verplaatste de groep zich naar Park Lepelenburg. Verslaggever Job Oldegbers is benieuwd: wat moet er gebeuren om dit probleem op te lossen?",1,"Drugsverslaafden teisteren Utrecht, maar hoe los je dit probleem op? | Utrecht | AD.nl",ja
Het stadsbestuur moet bij de rijksoverheid aandringen op erkenning van de Palestijnse staat. Dat zegt een meerderheid van de Utrechtse gemeenteraad. Met deze lobby wil de lokale politiek proberen om het standpunt van de landelijke overheid te veranderen.,1,Utrechtse politiek pleit voor erkenning Palestijnse staat: ‘Draagt bij aan vrede en stabiliteit’ | Utrecht | AD.nl,ja
