Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,large,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten.  Bijna allemaal laten ze het publiek actief meedoen,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands <extra_id_0> Bijna allemaal laten ze het publiek actief meedoen,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands publiek te betrekken. Bijna allemaal laten ze het publiek actief meedoen,['Binnalepaviljoen in te richten.'],['publiek te betrekken.'],4,20,1,[0.6774193548387096],0.68
seq1-0,large,"Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen.  Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren fietsen op de rechte paden die het park doorkruisen","Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen. Er wordt gepicknickt op de <extra_id_0> een duik in de vennetjes <extra_id_1> fietsen op de rechte paden <extra_id_2> doorkruisen","Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen. Er wordt gepicknickt op de banken, gedronken bij een duik in de vennetjes of men kan fietsen op de rechte paden die de velden doorkruisen","['grasvelden', 'honden nemen', 'en kinderen leren', 'die het park']","['banken, gedronken bij', 'of men kan', 'die de velden']",9,20,1,"[0.8095238095238095, 0.6666666666666666, 0.7058823529411765]",0.73
seq2-0,large,"'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen.  Het ","'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was <extra_id_0> werd gevonden <extra_id_1> in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen. Het","'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Ghana en werd gevonden op een luchthaven in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen. Het","['naar Duitsland en woensdag', 'op een vliegveld']","['naar Ghana en', 'op een luchthaven']",7,20,1,"[0.6153846153846154, 0.5294117647058824]",0.57
seq3-0,large,Hamas mag in Rusland op bezoek komen .  Tot ontsteltenis van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,<extra_id_0> Rusland op bezoek komen <extra_id_1> van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,Naast dat in Rusland op bezoek komen president van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,"['Hamas mag in', '. Tot ontsteltenis']","['Naast dat in', 'president']",6,20,1,"[0.4166666666666667, 0.8333333333333334]",0.62
seq4-0,large,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een reeks terroristische aanslagen.  Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien aanslagen in Europese steden,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst <extra_id_0> een reeks terroristische aanslagen. Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 <extra_id_1> in <extra_id_2>,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een reeks terroristische aanslagen. Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden in,"['getroffen stad in', 'maanden veertien aanslagen', 'Europese steden']","['getroffen stad in', 'maanden', '']",8,20,1,"[0.0, 0.7307692307692307, 1.0]",0.58
seq5-0,large,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig kritisch over de islam.  Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de <extra_id_0> Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig <extra_id_1> islam. Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de moord op een meisje in Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig haat tegen de islam. Dat melden Noorse media,"['schietpartij en bomaanslag in', 'kritisch over de']","['moord op een meisje in', 'haat tegen de']",7,20,1,"[0.7241379310344828, 0.6875]",0.71
seq6-0,large,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden.  De man werd onwel terwijl hij geboeid op de achterbank van de politieauto lag en overleed daar,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden. De man werd <extra_id_0> geboeid op de achterbank van de <extra_id_1> overleed daar,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden. De man werd door de politie geboeid op de achterbank van de auto en overleed daar,"['onwel terwijl hij', 'politieauto lag en']","['door de politie', 'auto en']",6,20,1,"[0.7647058823529411, 0.6111111111111112]",0.69
seq7-0,large,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector.  Samenwerking moet leiden tot een inhaalslag,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector. Samenwerking moet <extra_id_0>,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector. Samenwerking moet beter.,['leiden tot een inhaalslag'],['beter.'],4,20,1,[0.88],0.88
seq8-0,large,"Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART.  Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en <extra_id_0> jaar nog niet zullen <extra_id_1> resultaten van het concern","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en TV10 Gold dit jaar nog niet zullen leiden tot goede resultaten van het concern","['The Music Factory dit', 'bijdragen aan de']","['TV10 Gold dit', 'leiden tot goede']",7,20,1,"[0.6666666666666666, 0.75]",0.71
seq9-0,large,"Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid.  Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid 2001 organiseerde","Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze <extra_id_0> Stichting <extra_id_1> organiseerde","Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze week Stichting Vangnet Nederland organiseerde","['krant samen met de', 'Sociale Zekerheid 2001']","['week', 'Vangnet Nederland']",7,20,1,"[0.8888888888888888, 0.7727272727272727]",0.83
