Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,base,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten? En waarom zwijgen de meeste wereldleiders? Vijf vragen beantwoord.,Met een spectaculaire reddingsoperatie wist het Isralische <extra_id_0> te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 <extra_id_1> vastzitten? En waarom <extra_id_2> wereldleiders? <extra_id_3>,Met een spectaculaire reddingsoperatie wist het Isralische leger de Palestijnen te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 mensen die vastzitten? En waarom denken wereldleiders? -,"['leger zaterdag vier gijzelaars', 'gijzelaars die nog', 'zwijgen de meeste', 'Vijf vragen beantwoord.']","['leger de Palestijnen', 'mensen die', 'denken', '-']",13,30,1,"[0.6, 0.7222222222222222, 0.8235294117647058, 1.0]",0.79
seq1-0,base,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten? En waarom zwijgen de meeste wereldleiders? Vijf vragen beantwoord.,Met een spectaculaire <extra_id_0> Isralische leger zaterdag vier gijzelaars <extra_id_1> aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten? En waarom <extra_id_2> wereldleiders? <extra_id_3>,Met een spectaculaire actie heeft het Isralische leger zaterdag vier gijzelaars vastgezet. De druk aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten? En waarom voor wereldleiders?,"['reddingsoperatie wist het', 'te bevrijden. De prijs', 'zwijgen de meeste', 'Vijf vragen beantwoord.']","['actie heeft het', 'vastgezet. De druk', 'voor', '']",13,30,1,"[0.68, 0.6818181818181818, 1.0, 1.0]",0.84
seq2-0,base,"Op 1 juni begint de Nederlander Hermen Hulst als ceo van Sony Interactive Entertainment, de maker van PlayStation. Voorheen produceerde Hulst de succesvolle gameseries Killzone en Horizon. Hij krijgt de taak om s werelds grootste gamebedrijf door een tumultueuze tijd in de game-industrie te leiden.",Op 1 juni begint de Nederlander Hermen Hulst <extra_id_0> Sony Interactive <extra_id_1> van PlayStation. Voorheen produceerde Hulst de succesvolle gameseries Killzone en Horizon. <extra_id_2> taak om s werelds grootste gamebedrijf door een tumultueuze <extra_id_3> game-industrie <extra_id_4>,Op 1 juni begint de Nederlander Hermen Hulst de nieuwe functie bij Sony Interactive Entertainment van PlayStation. Voorheen produceerde Hulst de succesvolle gameseries Killzone en Horizon. Het is zijn taak om s werelds grootste gamebedrijf door een tumultueuze periode de game-industrie,"['als ceo van', 'Entertainment', 'de maker', 'Hij krijgt de', 'tijd in de', 'te leiden.']","['de nieuwe functie bij', 'Entertainment', 'Het is zijn', 'periode de', '']",14,30,1,"[0.8571428571428571, 0.0, 0.8181818181818182, 0.6153846153846154, 1.0]",0.66
seq3-0,base,"De liberaal-conservatieve Nieuw-Vlaamse Alliantie (N-VA) blijft de grootste partij in het Vlaams Parlement (25,2 procent). Dat melden Belgische media op basis van de helft van de getelde stemmen van de regionale verkiezingen, die vandaag tegelijk met de Europese en landelijke verkiezingen plaatsvonden.","De liberaal-conservatieve Nieuw-Vlaamse <extra_id_0> grootste partij in het Vlaams Parlement (25,2 procent). Dat melden <extra_id_1> basis van de helft van de getelde stemmen van <extra_id_2> die vandaag tegelijk met de Europese <extra_id_3> plaatsvonden.","De liberaal-conservatieve Nieuw-Vlaamse Democraten zijn de grootste partij in het Vlaams Parlement (25,2 procent). Dat melden de basis van de helft van de getelde stemmen van de verkiezingen die vandaag tegelijk met de Europese verkiezingen plaatsvonden.","['Alliantie (N-VA) blijft de', 'Belgische media op', 'de regionale verkiezingen,', 'en landelijke verkiezingen']","['Democraten zijn de', 'de', 'de verkiezingen', 'verkiezingen']",13,30,1,"[0.7307692307692307, 0.9444444444444444, 0.4230769230769231, 0.5384615384615384]",0.66
seq4-0,base,"De elfde editie van de Willem IV Rally was een groot succes. Dat meldt Arne Verwoert van de organisatie. Dit jaar is er ruim 11.500 euro opgehaald voor het Ronald McDonald Huis Sophia Rotterdam. ,,De jongste deelnemer ooit, van dertien jaar oud, is samen met haar vader eerste geworden.","<extra_id_0> van de Willem IV Rally was een groot succes. Dat meldt Arne Verwoert van de organisatie. Dit jaar is er ruim 11.500 euro opgehaald voor <extra_id_1> Huis Sophia <extra_id_2> deelnemer ooit, van dertien jaar oud, <extra_id_3> haar <extra_id_4>","De organisatie van de Willem IV Rally was een groot succes. Dat meldt Arne Verwoert van de organisatie. Dit jaar is er ruim 11.500 euro opgehaald voor het Huis Sophia De eerste deelnemer ooit, van dertien jaar oud, liep haar eerste vlucht.","['De elfde editie', 'het Ronald McDonald', 'Rotterdam. ,,De jongste', 'is samen met', 'vader eerste geworden.']","['De organisatie', 'het', 'De eerste', 'liep', 'vlucht.']",15,30,1,"[0.6, 0.8421052631578947, 0.7391304347826086, 0.9166666666666666, 0.8636363636363636]",0.79
seq5-0,base,"Lieke Martens kon met een overwinning afscheid van het thuispubliek. Maar ze laat een kwetsbaar team achter, waarvan niemand vooralsnog kan inschatten waartoe het in staat is.","Lieke Martens kon met een <extra_id_0> het thuispubliek. Maar ze laat een kwetsbaar team achter, waarvan niemand vooralsnog <extra_id_1> waartoe <extra_id_2> is.","Lieke Martens kon met een sterke prestaties tegen het thuispubliek. Maar ze laat een kwetsbaar team achter, waarvan niemand vooralsnog weet waartoe hij gekomen is.","['overwinning afscheid van', 'kan inschatten', 'het in staat']","['sterke prestaties tegen', 'weet', 'hij gekomen']",8,30,1,"[0.8333333333333334, 0.9285714285714286, 0.8333333333333334]",0.87
seq6-0,base,NRC bespreekt deze weken de eindexamens na met deskundigen. Internist Jos Kooter over het vmbo gl- en tl-examen natuur- en scheikunde.,NRC bespreekt deze weken de eindexamens na met deskundigen. Internist Jos <extra_id_0> vmbo gl- en <extra_id_1> scheikunde.,NRC bespreekt deze weken de eindexamens na met deskundigen. Internist Jos van der Meulen vmbo gl- en vmbo scheikunde.,"['Kooter over het', 'tl-examen natuur- en']","['van der Meulen', 'vmbo']",6,30,1,"[0.7333333333333333, 0.95]",0.84
seq7-0,base,De Conservatieve Britse premier Sunak schreef twee weken geleden onverwachts verkiezingen uit. De campagnestrijd met Labour ging meteen volop van start. Maandag kwam Nigel Farage met een verrassing: hij doet alsnog mee.,De Conservatieve Britse premier Sunak schreef <extra_id_0> verkiezingen <extra_id_1> met <extra_id_2> volop van start. Maandag kwam Nigel Farage met een verrassing: hij doet alsnog mee.,De Conservatieve Britse premier Sunak schreef zijn verkiezingen voor met de campagne volop van start. Maandag kwam Nigel Farage met een verrassing: hij doet alsnog mee.,"['twee weken geleden onverwachts', 'uit. De campagnestrijd', 'Labour ging meteen']","['zijn', 'voor', 'de campagne']",10,30,1,"[0.9666666666666667, 0.9545454545454546, 0.8888888888888888]",0.94
seq8-0,base,"Wie noodgedwongen zzper wordt, heeft het minder goed dan zelfstandigen die daar bewust voor kiezen, blijkt uit onderzoek van Rabobank.","Wie noodgedwongen zzper wordt, heeft het minder goed dan <extra_id_0> bewust voor kiezen, blijkt <extra_id_1> Rabobank.","Wie noodgedwongen zzper wordt, heeft het minder goed dan wie er bewust voor kiezen, blijkt uit onderzoek van Rabobank.","['zelfstandigen die daar', 'uit onderzoek van']","['wie er', 'uit onderzoek van']",6,30,1,"[0.7727272727272727, 0.0]",0.39
seq9-0,base,Amsterdammers mogen donderdag behalve voor het Europees Parlement ook stemmen over groen in hun stad.,Amsterdammers mogen donderdag behalve voor het Europees <extra_id_0> groen in hun stad.,Amsterdammers mogen donderdag behalve voor het Europees kampioenschap groen in hun stad.,['Parlement ook stemmen over'],['kampioenschap'],4,30,1,[0.8076923076923077],0.81
